id,name,category,ingredients,amounts,minutes,servings,steps,image
11,豚の生姜焼き,主菜,豚ロース肉;玉ねぎ;しょうが;醤油;みりん;酒;砂糖;サラダ油,300g;1/2個;1片;大さじ2;大さじ1;大さじ1;小さじ1;小さじ1,15,2,玉ねぎを薄切りにする;豚肉を強めの中火で焼く;玉ねぎを加えて炒める;すりおろしたしょうがと調味料を加えて絡める,shogayaki.jpg
12,とんかつ,主菜,豚ロース肉;卵;小麦粉;パン粉;塩;こしょう;サラダ油;中濃ソース,2枚;1個;大さじ3;1カップ;小さじ1/2;少々;適量;大さじ2,25,2,豚肉に塩こしょうをふる;小麦粉、卵、パン粉の順につける;170度の油で6分揚げる;油を切って食べやすく切り、ソースを添える,tonkatsu.jpg
13,豚バラ大根,主菜,豚バラ肉;大根;しょうが;醤油;みりん;酒;砂糖;顆粒だし,200g;400g;1片;大さじ3;大さじ2;大さじ2;大さじ1;小さじ1,40,3,大根をいちょう切り、豚肉を食べやすく切る;鍋で豚肉を炒める;大根と水、調味料を加える;弱火で30分煮る,porkbelly_daikon.jpg
14,肉じゃが,主菜,牛薄切り肉;じゃがいも;玉ねぎ;にんじん;しらたき;醤油;みりん;砂糖;酒;顆粒だし;サラダ油,150g;3個;1個;1本;150g;大さじ3;大さじ2;大さじ1;大さじ2;小さじ1;大さじ1,35,3,じゃがいもを乱切り、玉ねぎをくし切り、にんじんを乱切りにする;鍋で牛肉を炒める;野菜としらたきを加えて炒める;水と調味料を加え落し蓋をして20分煮込む,nikujaga.jpg
15,豚肉とキャベツの味噌炒め,主菜,豚こま肉;キャベツ;ピーマン;味噌;みりん;砂糖;醤油;サラダ油,200g;1/4個;1個;大さじ2;大さじ1;小さじ2;小さじ1;大さじ1,15,2,キャベツをざく切り、ピーマンを細切りにする;豚肉を炒める;キャベツとピーマンを加えて炒める;混ぜた調味料を加えて手早く絡める,pork_cabbage_miso.jpg
16,回鍋肉,主菜,豚バラ肉;キャベツ;ピーマン;ねぎ;豆板醤;味噌;醤油;砂糖;酒;ごま油,200g;1/4個;2個;1/2本;小さじ1;大さじ1;大さじ1;小さじ2;大さじ1;大さじ1,20,2,キャベツをざく切り、ピーマンを乱切りにする;豚肉を炒めて一度取り出す;野菜を強火で炒める;豚肉を戻し豆板醤と調味料を加えて絡める,hoikoro.jpg
17,酢豚,主菜,豚ロース肉;玉ねぎ;ピーマン;にんじん;片栗粉;酢;砂糖;醤油;ケチャップ;サラダ油,250g;1個;2個;1/2本;大さじ3;大さじ3;大さじ3;大さじ2;大さじ2;適量,35,3,豚肉を一口大に切り片栗粉をまぶして揚げる;野菜を乱切りにして炒める;酢、砂糖、醤油、ケチャップを合わせて加える;豚肉を戻し水溶き片栗粉でとろみをつける,subuta.jpg
18,豚キムチ,主菜,豚バラ肉;キムチ;ニラ;もやし;醤油;ごま油,200g;150g;1/2束;100g;小さじ1;大さじ1,15,2,ニラを5cmに切る;ごま油で豚肉を炒める;キムチを加えて炒める;もやしとニラを加え醤油で味を調える,butakimchi.jpg
19,ロールキャベツ,主菜,合いびき肉;キャベツ;玉ねぎ;卵;パン粉;顆粒コンソメ;塩;こしょう,250g;8枚;1/2個;1個;大さじ3;小さじ2;小さじ1/2;少々,50,4,キャベツをゆでて芯を薄くする;ひき肉、みじん切り玉ねぎ、卵、パン粉を混ぜる;キャベツで包んで楊枝でとめる;スープで30分煮込む,roll_cabbage.jpg
20,ハンバーグ,主菜,合いびき肉;玉ねぎ;卵;パン粉;牛乳;塩;こしょう;ケチャップ;中濃ソース;サラダ油,300g;1個;1個;大さじ4;大さじ3;小さじ1/2;少々;大さじ2;大さじ2;大さじ1,30,3,玉ねぎをみじん切りにして炒め冷ます;ひき肉、卵、パン粉、牛乳、玉ねぎを混ぜる;小判形にして中火で3分焼く;裏返して蓋をし弱火で7分蒸し焼きにする;ケチャップとソースを煮詰めてかける,hamburg.jpg
21,煮込みハンバーグ,主菜,合いびき肉;玉ねぎ;卵;パン粉;ホールトマト缶;顆粒コンソメ;塩;こしょう;サラダ油,300g;1個;1個;大さじ4;1缶;小さじ1;小さじ1/2;少々;大さじ1,40,3,玉ねぎ半量をみじん切りにして種に混ぜる;残りは薄切りにする;成形した種の両面を焼く;トマト缶と薄切り玉ねぎを加えて20分煮込む,nikomi_hamburg.jpg
22,ミートボールの甘酢あん,主菜,豚ひき肉;玉ねぎ;卵;片栗粉;酢;砂糖;醤油;ケチャップ;サラダ油,250g;1/2個;1個;大さじ2;大さじ2;大さじ2;大さじ1;大さじ2;大さじ1,30,3,ひき肉、みじん切り玉ねぎ、卵、片栗粉を混ぜる;丸めて中火で転がしながら焼く;酢、砂糖、醤油、ケチャップを加える;水溶き片栗粉でとろみをつける,meatball_amazu.jpg
23,メンチカツ,主菜,合いびき肉;玉ねぎ;卵;パン粉;小麦粉;塩;こしょう;サラダ油;中濃ソース,300g;1個;1個;1カップ;大さじ3;小さじ1/2;少々;適量;大さじ2,35,3,玉ねぎをみじん切りにして炒め冷ます;ひき肉と混ぜて小判形にする;小麦粉、卵、パン粉の順につける;170度で7分揚げる,menchikatsu.jpg
24,ピーマンの肉詰め,主菜,ピーマン;合いびき肉;玉ねぎ;卵;パン粉;小麦粉;塩;こしょう;ケチャップ;サラダ油,4個;200g;1/2個;1個;大さじ3;大さじ1;小さじ1/2;少々;大さじ2;大さじ1,30,2,ピーマンを半分に切り種を取る;内側に小麦粉をふる;ひき肉の種を詰めて肉側から焼く;裏返して蓋をし弱火で8分蒸し焼きにする,piman_nikuzume.jpg
25,麻婆豆腐,主菜,豆腐;豚ひき肉;ねぎ;にんにく;しょうが;豆板醤;味噌;醤油;酒;片栗粉;鶏がらスープの素;ごま油,1丁;150g;1/2本;1片;1片;小さじ1;大さじ1;大さじ1;大さじ1;大さじ1;小さじ1;大さじ1,20,3,豆腐を角切りにして軽く湯通しする;ごま油でひき肉、にんにく、しょうがを炒める;豆板醤と味噌を加えて炒める;水とスープの素を入れ豆腐を加えて煮る;水溶き片栗粉でとろみをつけねぎを散らす,mabo_dofu.jpg
26,麻婆なす,主菜,なす;豚ひき肉;ねぎ;にんにく;豆板醤;味噌;醤油;砂糖;片栗粉;ごま油;鶏がらスープの素,3本;150g;1/2本;1片;小さじ1;大さじ1;大さじ1;小さじ2;大さじ1;大さじ2;小さじ1,25,3,なすを乱切りにして油で炒め取り出す;ひき肉とにんにくを炒める;豆板醤と調味料を加える;なすを戻し水溶き片栗粉でとろみをつける,mabo_nasu.jpg
27,餃子,主菜,餃子の皮;豚ひき肉;キャベツ;ニラ;にんにく;しょうが;醤油;ごま油;塩;酒;サラダ油,30枚;250g;1/4個;1/2束;1片;1片;大さじ1;大さじ1;小さじ1/2;大さじ1;大さじ1,45,4,キャベツとニラをみじん切りにして塩をふり水気を絞る;ひき肉と野菜、調味料を混ぜる;皮で包む;油をひいて焼き、水を加えて蒸し焼きにする,gyoza.jpg
28,青椒肉絲,主菜,牛薄切り肉;ピーマン;たけのこ;片栗粉;オイスターソース;醤油;酒;砂糖;ごま油,200g;3個;100g;大さじ1;大さじ1;大さじ1;大さじ1;小さじ1;大さじ1,20,2,牛肉を細切りにして片栗粉をまぶす;ピーマンとたけのこを細切りにする;強火で牛肉を炒める;野菜を加え調味料で味付けする,chinjao_rosu.jpg
29,牛肉とごぼうのしぐれ煮,主菜,牛薄切り肉;ごぼう;しょうが;醤油;みりん;砂糖;酒;ごま油,200g;1本;1片;大さじ3;大さじ2;大さじ1;大さじ2;大さじ1,25,3,ごぼうをささがきにして水にさらす;ごま油でごぼうを炒める;牛肉を加えて炒める;調味料を加えて汁気がなくなるまで煮る,gyuniku_gobo.jpg
30,肉豆腐,主菜,豆腐;牛薄切り肉;玉ねぎ;ねぎ;醤油;みりん;砂糖;酒;顆粒だし,1丁;150g;1個;1/2本;大さじ3;大さじ2;大さじ1;大さじ2;小さじ1,25,3,豆腐を大きめに切り玉ねぎをくし切りにする;鍋に調味料と水を煮立てる;牛肉と玉ねぎを加えて煮る;豆腐を加えて10分煮てねぎを散らす,niku_dofu.jpg
31,鮭の塩焼き,主菜,鮭;塩;酒;大根,2切れ;小さじ1/2;大さじ1;100g,15,2,鮭に酒をふって5分おく;水気を拭いて塩をふる;グリルで中火で10分焼く;大根おろしを添える,shiozake.jpg
32,鮭のホイル焼き,主菜,鮭;玉ねぎ;しめじ;にんじん;バター;塩;こしょう;酒,2切れ;1/2個;100g;1/3本;20g;小さじ1/2;少々;大さじ1,25,2,野菜を薄切りにする;アルミホイルに野菜と鮭をのせる;バター、塩こしょう、酒をかけて包む;オーブントースターで15分焼く,sake_hoiruyaki.jpg
33,鮭のムニエル,主菜,鮭;小麦粉;バター;塩;こしょう;オリーブオイル,2切れ;大さじ2;20g;小さじ1/2;少々;大さじ1,15,2,鮭に塩こしょうをふる;小麦粉を薄くまぶす;オリーブオイルで皮目から3分焼く;裏返してバターを加え3分焼く,sake_meuniere.jpg
34,さばの味噌煮,主菜,さば;しょうが;ねぎ;味噌;みりん;砂糖;酒;醤油,2切れ;1片;1/2本;大さじ2;大さじ2;大さじ1;大さじ3;小さじ1,30,2,さばに熱湯をかけて臭みを取る;鍋に酒、水、しょうがを煮立てる;さばを入れて中火で10分煮る;味噌と残りの調味料を溶き入れ10分煮る,saba_misoni.jpg
35,さばの塩焼き,主菜,さば;塩;酒;大根;醤油,2切れ;小さじ1/2;大さじ1;100g;小さじ1,15,2,さばに酒をふって5分おく;水気を拭いて塩をふる;グリルで皮目から10分焼く;大根おろしと醤油を添える,saba_shioyaki.jpg
36,ぶりの照り焼き,主菜,ぶり;小麦粉;醤油;みりん;酒;砂糖;サラダ油,2切れ;大さじ1;大さじ2;大さじ2;大さじ1;小さじ2;大さじ1,20,2,ぶりに薄く小麦粉をまぶす;中火で両面を焼く;余分な油を拭き取る;調味料を加えて煮からめる,buri_teriyaki.jpg
37,たらの煮付け,主菜,たら;しょうが;ねぎ;醤油;みりん;酒;砂糖,2切れ;1片;1/2本;大さじ2;大さじ2;大さじ2;小さじ2,20,2,たらに熱湯をかける;鍋に調味料と水を煮立てる;たらとしょうがを入れる;落し蓋をして10分煮てねぎを添える,tara_nitsuke.jpg
38,あじの南蛮漬け,主菜,あじ;玉ねぎ;にんじん;ピーマン;片栗粉;酢;砂糖;醤油;サラダ油,4尾;1/2個;1/3本;1個;大さじ3;大さじ4;大さじ3;大さじ3;適量,35,3,あじに片栗粉をまぶして170度で揚げる;野菜を細切りにする;酢、砂糖、醤油を煮立てる;揚げたあじと野菜を漬けて30分なじませる,aji_nanban.jpg
39,いわしの生姜煮,主菜,いわし;しょうが;醤油;みりん;酒;砂糖,4尾;2片;大さじ3;大さじ2;大さじ3;大さじ1,35,2,いわしの頭と内臓を取る;鍋に調味料と水、薄切りしょうがを煮立てる;いわしを並べる;落し蓋をして弱火で25分煮る,iwashi_shogani.jpg
40,えびフライ,主菜,えび;卵;小麦粉;パン粉;塩;こしょう;サラダ油;マヨネーズ,8尾;1個;大さじ3;1カップ;小さじ1/2;少々;適量;大さじ2,25,2,えびの背わたを取り腹側に切り込みを入れる;塩こしょうをふる;小麦粉、卵、パン粉の順につける;175度で3分揚げる,ebi_fry.jpg
41,えびのチリソース,主菜,えび;ねぎ;にんにく;しょうが;ケチャップ;豆板醤;砂糖;片栗粉;鶏がらスープの素;ごま油,250g;1/2本;1片;1片;大さじ3;小さじ1;大さじ1;大さじ1;小さじ1;大さじ1,20,2,えびの背わたを取り片栗粉をまぶす;ごま油でにんにくとしょうがを炒める;えびを加えて炒める;ケチャップと調味料を加えとろみをつけねぎを散らす,ebi_chili.jpg
42,いかと大根の煮物,主菜,いか;大根;しょうが;醤油;みりん;酒;砂糖;顆粒だし,1杯;400g;1片;大さじ3;大さじ2;大さじ2;大さじ1;小さじ1,40,3,いかを輪切り、大根を乱切りにする;鍋に大根と水、調味料を入れて15分煮る;いかを加えて15分煮る;火を止めて味をなじませる,ika_daikon.jpg
43,豆腐ハンバーグ,主菜,豆腐;鶏ひき肉;玉ねぎ;卵;片栗粉;醤油;みりん;塩;サラダ油,1/2丁;200g;1/2個;1個;大さじ2;大さじ2;大さじ2;小さじ1/2;大さじ1,30,3,豆腐の水気をよく切る;ひき肉、豆腐、みじん切り玉ねぎ、卵、片栗粉を混ぜる;小判形にして両面を焼く;蓋をして蒸し焼きにし醤油とみりんを絡める,tofu_hamburg.jpg
44,揚げ出し豆腐,主菜,豆腐;片栗粉;めんつゆ;大根;ねぎ;かつお節;サラダ油,1丁;大さじ4;100ml;80g;1/4本;3g;適量,20,2,豆腐の水気を切り8等分にする;片栗粉を全面にまぶす;170度で表面がかたくなるまで4分揚げる;温めためんつゆをかけ大根おろしとねぎ、かつお節をのせる,agedashi_dofu.jpg
45,だし巻き卵,主菜,卵;顆粒だし;砂糖;醤油;塩;サラダ油,4個;小さじ1;小さじ2;小さじ1;少々;大さじ1,15,2,卵を溶き、だしを溶いた水と調味料を混ぜる;卵焼き器を熱して油をひく;卵液を少量流して手前に巻く;繰り返して巻き上げ形を整える,dashimaki_tamago.jpg
46,きんぴらごぼう,副菜,ごぼう;にんじん;醤油;みりん;砂糖;ごま油;白ごま;一味唐辛子,1本;1/2本;大さじ2;大さじ1;大さじ1;大さじ1;小さじ1;少々,20,3,ごぼうとにんじんを細切りにする;ごぼうを水にさらしてアクを抜く;ごま油で炒める;調味料を加えて汁気がなくなるまで炒め白ごまをふる,kinpira_gobo.jpg
47,ほうれん草のおひたし,副菜,ほうれん草;醤油;顆粒だし;かつお節,1束;大さじ1;小さじ1/2;3g,10,2,ほうれん草を塩ゆでする;冷水にとって水気を絞る;4cmに切る;醤油とだしをかけかつお節をのせる,horenso_ohitashi.jpg
48,小松菜のごま和え,副菜,小松菜;すりごま;醤油;砂糖,1束;大さじ3;大さじ1;小さじ2,10,2,小松菜をゆでて水気を絞る;4cmに切る;すりごま、醤油、砂糖を混ぜる;小松菜を和える,komatsuna_goma.jpg
49,なすの煮浸し,副菜,なす;しょうが;醤油;みりん;顆粒だし;ごま油,3本;1片;大さじ2;大さじ1;小さじ1;大さじ1,20,3,なすを縦半分に切り皮に切り込みを入れる;ごま油で焼き色がつくまで焼く;だしと調味料を加える;弱火で10分煮て冷ます,nasu_nibitashi.jpg
50,かぼちゃの煮物,副菜,かぼちゃ;醤油;みりん;砂糖;顆粒だし,400g;大さじ2;大さじ1;大さじ1;小さじ1,25,3,かぼちゃを一口大に切る;鍋に皮を下にして並べる;水と調味料を加えて煮立てる;落し蓋をして15分煮る,kabocha_nimono.jpg
51,里芋の煮っころがし,副菜,里芋;醤油;みりん;砂糖;酒;顆粒だし,500g;大さじ3;大さじ2;大さじ1;大さじ1;小さじ1,35,3,里芋の皮をむいて塩でもみぬめりを取る;下ゆでして水を捨てる;調味料と水を加えて煮立てる;落し蓋をして20分煮からめる,satoimo_nikkorogashi.jpg
52,切り干し大根の煮物,副菜,切り干し大根;にんじん;油揚げ;醤油;みりん;砂糖;顆粒だし;サラダ油,40g;1/3本;1枚;大さじ2;大さじ1;小さじ2;小さじ1;大さじ1,25,3,切り干し大根を水で戻して絞る;にんじんと油揚げを細切りにする;油で炒める;だしと調味料を加えて15分煮る,kiriboshi_daikon.jpg
53,ひじきの煮物,副菜,ひじき;にんじん;油揚げ;大豆水煮;醤油;みりん;砂糖;顆粒だし;サラダ油,30g;1/3本;1枚;80g;大さじ2;大さじ1;小さじ2;小さじ1;大さじ1,30,3,ひじきを水で戻す;にんじんと油揚げを細切りにする;油で炒めてひじきを加える;だしと調味料を加えて15分煮る,hijiki_nimono.jpg
54,高野豆腐の含め煮,副菜,高野豆腐;にんじん;しいたけ;醤油;みりん;砂糖;顆粒だし,4個;1/3本;3枚;大さじ2;大さじ2;大さじ1;小さじ1,25,3,高野豆腐を水で戻して絞る;にんじんとしいたけを切る;だしと調味料を煮立てる;15分煮て味を含ませる,koyadofu_fukumeni.jpg
55,厚揚げと小松菜の煮物,副菜,厚揚げ;小松菜;醤油;みりん;顆粒だし;砂糖,1枚;1束;大さじ2;大さじ1;小さじ1;小さじ1,15,2,厚揚げを一口大に切る;小松菜を4cmに切る;だしと調味料を煮立てて厚揚げを煮る;小松菜を加えて3分煮る,atsuage_komatsuna.jpg
56,大根の煮物,副菜,大根;油揚げ;醤油;みりん;砂糖;顆粒だし,400g;1枚;大さじ2;大さじ2;小さじ2;小さじ1,35,3,大根を厚めの半月切りにする;下ゆでして水を切る;だしと調味料を加える;落し蓋をして25分煮る,daikon_nimono.jpg
57,れんこんのきんぴら,副菜,れんこん;醤油;みりん;砂糖;ごま油;白ごま;一味唐辛子,300g;大さじ2;大さじ1;小さじ2;大さじ1;小さじ1;少々,15,3,れんこんを薄い半月切りにして水にさらす;ごま油で炒める;調味料を加えて炒める;白ごまと一味をふる,renkon_kinpira.jpg
58,さやいんげんのごま和え,副菜,さやいんげん;すりごま;醤油;砂糖,200g;大さじ3;大さじ1;小さじ2,10,2,いんげんの筋を取る;塩ゆでして冷水にとる;3cmに切る;すりごま、醤油、砂糖で和える,ingen_goma.jpg
59,ブロッコリーのおかか和え,副菜,ブロッコリー;かつお節;醤油;ごま油,1株;5g;大さじ1;小さじ1,10,2,ブロッコリーを小房に分ける;塩ゆでして水気を切る;かつお節と醤油を混ぜる;ごま油を加えて和える,broccoli_okaka.jpg
60,もやしのナムル,副菜,もやし;ねぎ;にんにく;ごま油;醤油;塩;白ごま,200g;1/4本;1片;大さじ1;小さじ1;小さじ1/3;小さじ1,10,2,もやしを1分ゆでて水気を切る;すりおろしにんにくとごま油、醤油、塩を混ぜる;もやしを和える;白ごまと小口切りのねぎをのせる,moyashi_namul.jpg
61,きゅうりの酢の物,副菜,きゅうり;酢;砂糖;塩;白ごま,2本;大さじ2;大さじ1;小さじ1/2;小さじ1,10,2,きゅうりを薄い輪切りにする;塩をふって10分おき水気を絞る;酢と砂糖を混ぜる;きゅうりを和えて白ごまをふる,kyuri_sunomono.jpg
62,わかめときゅうりの酢の物,副菜,わかめ;きゅうり;酢;砂糖;醤油;白ごま,20g;1本;大さじ2;大さじ1;小さじ1;小さじ1,10,2,わかめを水で戻して食べやすく切る;きゅうりを薄切りにして塩でもむ;酢、砂糖、醤油を混ぜる;和えて白ごまをふる,wakame_kyuri.jpg
63,白菜の浅漬け,副菜,白菜;昆布;塩;酢,1/4株;5g;小さじ2;小さじ1,15,4,白菜をざく切りにする;塩をふってもむ;細切り昆布と酢を加える;袋に入れて冷蔵庫で2時間おく,hakusai_asazuke.jpg
64,大根の甘酢漬け,副菜,大根;酢;砂糖;塩;一味唐辛子,300g;大さじ4;大さじ3;小さじ1;少々,15,4,大根を薄い輪切りにする;塩をふって10分おき水気を絞る;酢と砂糖を混ぜる;大根を漬けて1時間なじませる,daikon_amazuzuke.jpg
65,なすの揚げ浸し,副菜,なす;しょうが;めんつゆ;サラダ油;かつお節,3本;1片;100ml;適量;3g,20,3,なすを乱切りにする;170度の油で2分揚げる;油を切る;めんつゆに漬けおろししょうがとかつお節をのせる,nasu_agebitashi.jpg
66,ピーマンのじゃこ炒め,副菜,ピーマン;しらす;醤油;みりん;ごま油;白ごま,4個;30g;小さじ2;小さじ1;大さじ1;小さじ1,10,2,ピーマンを細切りにする;ごま油で炒める;しらすを加えて炒める;醤油とみりんで味付けし白ごまをふる,piman_jako.jpg
67,オクラのおひたし,副菜,オクラ;めんつゆ;かつお節,10本;80ml;3g,10,2,オクラのガクを取る;塩ゆでして冷水にとる;斜め半分に切る;めんつゆをかけかつお節をのせる,okra_ohitashi.jpg
68,アスパラガスのバター炒め,副菜,アスパラガス;ベーコン;バター;塩;こしょう;醤油,8本;2枚;15g;小さじ1/3;少々;小さじ1,10,2,アスパラを斜め切りにする;ベーコンを細切りにする;バターでベーコンを炒める;アスパラを加えて炒め塩こしょうと醤油で調える,asparagus_butter.jpg
69,ズッキーニのソテー,副菜,ズッキーニ;にんにく;オリーブオイル;塩;こしょう;粉チーズ,1本;1片;大さじ1;小さじ1/3;少々;大さじ1,10,2,ズッキーニを1cmの輪切りにする;にんにくをオリーブオイルで炒める;ズッキーニを両面焼く;塩こしょうと粉チーズをふる,zucchini_saute.jpg
70,かぶの浅漬け,副菜,かぶ;昆布;塩;酢;一味唐辛子,3個;5g;小さじ1;小さじ2;少々,15,3,かぶを薄いくし切りにする;葉は3cmに切る;塩をふってもむ;昆布と酢を加えて1時間漬ける,kabu_asazuke.jpg
71,春菊のごま和え,副菜,春菊;すりごま;醤油;砂糖;顆粒だし,1束;大さじ3;大さじ1;小さじ2;小さじ1/3,10,2,春菊をゆでて水気を絞る;4cmに切る;すりごま、醤油、砂糖、だしを混ぜる;春菊を和える,shungiku_goma.jpg
72,豆苗と卵の炒め物,副菜,豆苗;卵;鶏がらスープの素;塩;こしょう;ごま油,1パック;2個;小さじ1/2;小さじ1/3;少々;大さじ1,10,2,豆苗を半分に切る;卵を溶いて半熟に炒めて取り出す;豆苗を強火で炒める;卵を戻し調味料で味を調える,tomyo_tamago.jpg
73,じゃがバター,副菜,じゃがいも;バター;塩;こしょう,3個;30g;小さじ1/3;少々,25,3,じゃがいもをよく洗い皮ごとラップで包む;電子レンジで6分加熱する;十字に切り込みを入れる;バターをのせ塩こしょうをふる,jaga_butter.jpg
74,ちくわのきゅうり詰め,副菜,ちくわ;きゅうり;マヨネーズ;醤油,4本;1本;大さじ1;小さじ1,10,2,きゅうりをちくわの穴に合わせて細く切る;ちくわの穴にマヨネーズを塗る;きゅうりを差し込む;食べやすく切り醤油を添える,chikuwa_kyuri.jpg
75,ほうれん草のバター炒め,副菜,ほうれん草;ベーコン;バター;にんにく;塩;こしょう;醤油,1束;2枚;15g;1片;小さじ1/3;少々;小さじ1,10,2,ほうれん草を4cmに切る;ベーコンを細切りにする;バターでにんにくとベーコンを炒める;ほうれん草を加えて手早く炒め調味する,horenso_butter.jpg
76,豆腐とわかめの味噌汁,汁物,豆腐;わかめ;ねぎ;味噌;顆粒だし,1/2丁;10g;1/4本;大さじ2;小さじ1,10,3,だしを溶いた湯を沸かす;角切りの豆腐と戻したわかめを入れる;火を止めて味噌を溶き入れる;小口切りのねぎを散らす,tofu_wakame_miso.jpg
77,しめじの味噌汁,汁物,しめじ;油揚げ;ねぎ;味噌;顆粒だし,100g;1枚;1/4本;大さじ2;小さじ1,10,3,しめじをほぐし油揚げを細切りにする;だし汁を沸かして具を入れる;3分煮る;火を止めて味噌を溶きねぎを散らす,shimeji_miso.jpg
78,大根と油揚げの味噌汁,汁物,大根;油揚げ;ねぎ;味噌;顆粒だし,150g;1枚;1/4本;大さじ2;小さじ1,15,3,大根を短冊切りにする;だし汁で大根を5分煮る;油揚げを加えて2分煮る;味噌を溶き入れねぎを散らす,daikon_age_miso.jpg
79,豚汁,汁物,豚バラ肉;大根;にんじん;ごぼう;こんにゃく;ねぎ;味噌;顆粒だし;ごま油,150g;150g;1/2本;1/2本;100g;1/2本;大さじ3;小さじ2;大さじ1,30,4,野菜とこんにゃくを食べやすく切る;ごま油で豚肉を炒める;野菜を加えて炒めだし汁を注ぐ;20分煮て味噌を溶き入れねぎを散らす,tonjiru.jpg
80,あさりの味噌汁,汁物,あさり;ねぎ;味噌;酒,300g;1/4本;大さじ2;大さじ1,20,3,あさりを塩水に30分つけて砂を抜く;水と酒であさりを煮る;殻が開いたらアクを取る;味噌を溶き入れねぎを散らす,asari_miso.jpg
81,しじみの味噌汁,汁物,しじみ;ねぎ;味噌;酒,200g;1/4本;大さじ2;大さじ1,20,3,しじみを砂抜きする;水と酒で煮る;殻が開いたらアクを取る;味噌を溶き入れねぎを散らす,shijimi_miso.jpg
82,かき玉汁,汁物,卵;ねぎ;片栗粉;醤油;塩;顆粒だし,2個;1/4本;大さじ1;小さじ2;小さじ1/3;小さじ1,10,3,だし汁を沸かし醤油と塩で調味する;水溶き片栗粉でとろみをつける;溶き卵を細く回し入れる;ねぎを散らす,kakitamajiru.jpg
